pygame 1.9.4
Hello from the pygame community. https://www.pygame.org/contribute.html
couldn't import doomish
Couldn't import doom
Beginning Training...
         673055 function calls (658794 primitive calls) in 39.166 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 1221/140    0.027    0.000    0.125    0.001 sre_compile.py:64(_compile)
        3    0.000    0.000    0.124    0.041 __init__.py:3(<module>)
        1    0.000    0.000    0.124    0.124 __init__.py:560(_build_master)
        1    0.000    0.000    0.124    0.124 __init__.py:547(__init__)
      464    0.004    0.000    0.116    0.000 __init__.py:2021(distributions_from_metadata)
        1    0.000    0.000    0.112    0.112 connectionpool.py:1(<module>)
      585    0.005    0.000    0.105    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
     3890    0.100    0.000    0.100    0.000 {built-in method posix.stat}
      168    0.006    0.000    0.097    0.001 optimizer.py:150(zero_grad)
      585    0.097    0.000    0.097    0.000 {built-in method marshal.loads}
     3450    0.008    0.000    0.097    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
        1    0.001    0.001    0.097    0.097 auto.py:268(_generate_function_classes)
    14/13    0.000    0.000    0.093    0.007 <frozen importlib._bootstrap>:622(_load_backward_compatible)
        6    0.000    0.000    0.092    0.015 __init__.py:35(load_module)
     1670    0.090    0.000    0.090    0.000 {method 'zero_' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.089    0.089 exceptions.py:1(<module>)
      413    0.003    0.000    0.089    0.000 fromnumeric.py:49(_wrapfunc)
      204    0.001    0.000    0.086    0.000 ple.py:357(act)
      209    0.001    0.000    0.085    0.000 transforms.py:47(__call__)
      209    0.001    0.000    0.085    0.000 fromnumeric.py:2803(round_)
      204    0.001    0.000    0.084    0.000 {built-in method builtins.sum}
      209    0.001    0.000    0.084    0.000 transforms.py:167(__call__)
      209    0.001    0.000    0.084    0.000 fromnumeric.py:2734(around)
      408    0.001    0.000    0.083    0.000 ple.py:374(<genexpr>)
      209    0.002    0.000    0.083    0.000 functional.py:172(resize)
      204    0.003    0.000    0.083    0.000 ple.py:383(_oneStepAct)
       27    0.000    0.000    0.082    0.003 pyparsing.py:2738(__init__)
      209    0.081    0.000    0.081    0.000 {method 'round' of 'numpy.ndarray' objects}
