pygame 1.9.4
Hello from the pygame community. https://www.pygame.org/contribute.html
couldn't import doomish
Couldn't import doom
Beginning Training...
         673055 function calls (658794 primitive calls) in 39.166 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       16    0.000    0.000    0.001    0.000 pyparsing.py:1181(setResultsName)
        1    0.000    0.000    0.001    0.001 beta.py:1(<module>)
        1    0.000    0.000    0.001    0.001 record_writer.py:4(<module>)
        1    0.000    0.000    0.001    0.001 reductions.py:1(<module>)
       82    0.001    0.000    0.001    0.000 pygamewrapper.py:65(_setAction)
        1    0.000    0.000    0.001    0.001 mimetypes.py:24(<module>)
      684    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:707(find_spec)
      238    0.001    0.000    0.001    0.000 serialization.py:225(persistent_id)
      254    0.001    0.000    0.001    0.000 _tensor_docs.py:8(add_docstr_all)
     1299    0.001    0.000    0.001    0.000 {method 'isupper' of 'str' objects}
      204    0.001    0.000    0.001    0.000 __init__.py:63(update)
      185    0.001    0.000    0.001    0.000 {method 'rand' of 'mtrand.RandomState' objects}
        1    0.000    0.000    0.001    0.001 expat.py:1(<module>)
       97    0.000    0.000    0.001    0.000 pyparsing.py:4740(<genexpr>)
      209    0.001    0.000    0.001    0.000 Image.py:298(_conv_type_shape)
      350    0.001    0.000    0.001    0.000 {method 'size' of 'torch._C._TensorBase' objects}
      261    0.001    0.000    0.001    0.000 descriptor.py:524(__new__)
        1    0.000    0.000    0.001    0.001 adadelta.py:1(<module>)
     1241    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:41(_relax_case)
      204    0.000    0.000    0.001    0.000 numeric.py:433(asarray)
      679    0.001    0.000    0.001    0.000 {built-in method _imp.is_frozen}
      204    0.001    0.000    0.001    0.000 ple.py:413(_getReward)
      612    0.001    0.000    0.001    0.000 __init__.py:134(update)
       14    0.000    0.000    0.001    0.000 descriptor.py:869(__new__)
        1    0.000    0.000    0.001    0.001 idna.py:3(<module>)
      308    0.001    0.000    0.001    0.000 socket.py:91(<lambda>)
       14    0.001    0.000    0.001    0.000 {method 'AddSerializedFile' of 'google.protobuf.pyext._message.DescriptorPool' objects}
        1    0.000    0.000    0.001    0.001 pyopenssl.py:43(<module>)
        4    0.000    0.000    0.001    0.000 numeric.py:2916(extend_all)
      450    0.001    0.000    0.001    0.000 {built-in method torch._C._add_docstr}
        6    0.000    0.000    0.001    0.000 getlimits.py:65(__init__)
        1    0.000    0.000    0.001    0.001 __init__.py:1740(basicConfig)
      382    0.001    0.000    0.001    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
     20/4    0.000    0.000    0.001    0.000 pyparsing.py:3278(streamline)
      652    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:311(__enter__)
     1045    0.001    0.000    0.001    0.000 Image.py:549(size)
        1    0.000    0.000    0.001    0.001 distributed.py:1(<module>)
        1    0.000    0.000    0.001    0.001 socks.py:23(<module>)
      168    0.001    0.000    0.001    0.000 {method 'squeeze' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.001    0.001 bisect.py:1(<module>)
        1    0.000    0.000    0.001    0.001 retry.py:1(<module>)
        1    0.000    0.000    0.001    0.001 url.py:1(<module>)
     1042    0.001    0.000    0.001    0.000 _structures.py:33(__neg__)
      140    0.001    0.000    0.001    0.000 sre_parse.py:223(__init__)
       53    0.000    0.000    0.001    0.000 core.py:893(__init__)
      170    0.001    0.000    0.001    0.000 {method 'release' of '_thread.lock' objects}
      209    0.001    0.000    0.001    0.000 {method 'encode' of 'ImagingEncoder' objects}
      702    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:143(__init__)
      216    0.001    0.000    0.001    0.000 __init__.py:2432(is_version_line)
        1    0.000    0.000    0.001    0.001 version.py:267(LooseVersion)
        1    0.000    0.000    0.001    0.001 __init__.py:1014(__init__)
        1    0.000    0.000    0.001    0.001 encoders.py:5(<module>)
        2    0.000    0.000    0.001    0.000 pyparsing.py:2822(__init__)
        1    0.000    0.000    0.001    0.001 step_stats_pb2.py:4(<module>)
        1    0.000    0.000    0.001    0.001 universaldetector.py:51(UniversalDetector)
        2    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:813(load_module)
        1    0.000    0.000    0.001    0.001 arrayprint.py:5(<module>)
      204    0.001    0.000    0.001    0.000 {method 'clip' of 'numpy.ndarray' objects}
      218    0.000    0.000    0.001    0.000 {built-in method builtins.all}
       64    0.001    0.000    0.001    0.000 sre_parse.py:266(getuntil)
        2    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:680(load_module)
       35    0.000    0.000    0.001    0.000 linecache.py:53(checkcache)
        2    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:253(_load_module_shim)
      672    0.001    0.000    0.001    0.000 {method 'dim' of 'torch._C._TensorBase' objects}
       48    0.001    0.000    0.001    0.000 enum.py:419(_get_mixins_)
      652    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:307(__init__)
      714    0.001    0.000    0.001    0.000 {method 'append' of 'collections.deque' objects}
      587    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:800(__init__)
       39    0.000    0.000    0.001    0.000 _inspect.py:142(formatargspec)
       14    0.000    0.000    0.001    0.000 pyparsing.py:1985(__call__)
        1    0.000    0.000    0.001    0.001 exp_family.py:1(<module>)
        1    0.000    0.000    0.001    0.001 half_normal.py:1(<module>)
      899    0.001    0.000    0.001    0.000 {built-in method builtins.iter}
        1    0.000    0.000    0.001    0.001 code.py:3(<module>)
        2    0.000    0.000    0.001    0.000 pyparsing.py:4640(originalTextFor)
      254    0.001    0.000    0.001    0.000 six.py:141(__init__)
       20    0.000    0.000    0.001    0.000 contextlib.py:129(contextmanager)
      510    0.001    0.000    0.001    0.000 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000    0.001    0.001 __init__.py:2839(DistInfoDistribution)
       16    0.000    0.000    0.001    0.000 posixpath.py:369(abspath)
      121    0.000    0.000    0.001    0.000 pyparsing.py:2327(__init__)
      798    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.001    0.001 __init__.py:4(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:653(_get_methods)
        1    0.000    0.000    0.001    0.001 error.py:12(<module>)
        1    0.000    0.000    0.001    0.001 activation.py:1(<module>)
        1    0.000    0.000    0.001    0.001 well_known_types.py:39(<module>)
      962    0.001    0.000    0.001    0.000 __init__.py:1991(__bool__)
     15/4    0.000    0.000    0.001    0.000 pyparsing.py:3721(streamline)
        1    0.000    0.000    0.001    0.001 inspect.py:317(getmembers)
        1    0.000    0.000    0.001    0.001 __init__.py:1056(_open)
        1    0.000    0.000    0.001    0.001 numerictypes.py:299(_add_aliases)
      542    0.001    0.000    0.001    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 numerictypes.py:942(_register_types)
       17    0.000    0.000    0.001    0.000 enum.py:114(__prepare__)
        4    0.001    0.000    0.001    0.000 _utils_internal.py:16(get_file_path)
        1    0.000    0.000    0.001    0.001 event_file_writer.py:33(directory_check)
      280    0.001    0.000    0.001    0.000 sre_compile.py:539(isstring)
        1    0.000    0.000    0.001    0.001 __init__.py:1577(MemoizedZipManifests)
        2    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:598(_exec)
        1    0.000    0.000    0.001    0.001 hmac.py:4(<module>)
      504    0.001    0.000    0.001    0.000 {method 'squeeze' of 'numpy.ndarray' objects}
      204    0.001    0.000    0.001    0.000 ple.py:376(_draw_frame)
       38    0.000    0.000    0.001    0.000 pyparsing.py:4189(__init__)
        1    0.000    0.000    0.001    0.001 util.py:1(<module>)
        1    0.000    0.000    0.001    0.001 message.py:105(Message)
       69    0.000    0.000    0.001    0.000 pyparsing.py:2371(__init__)
        4    0.000    0.000    0.001    0.000 pyparsing.py:3312(setResultsName)
      592    0.001    0.000    0.001    0.000 __init__.py:384(game_over)
        1    0.000    0.000    0.001    0.001 extras.py:10(<module>)
        1    0.000    0.000    0.001    0.001 polynomial.py:4(<module>)
        1    0.000    0.000    0.001    0.001 utf8prober.py:28(<module>)
      209    0.001    0.000    0.001    0.000 functional.py:17(_is_pil_image)
       74    0.001    0.000    0.001    0.000 {method 'splitlines' of 'str' objects}
        1    0.000    0.000    0.001    0.001 argparse.py:62(<module>)
        1    0.001    0.001    0.001    0.001 markers.py:65(Value)
      722    0.001    0.000    0.001    0.000 version.py:352(<lambda>)
        1    0.000    0.000    0.001    0.001 glob.py:1(<module>)
       29    0.000    0.000    0.001    0.000 {method 'sort' of 'list' objects}
      627    0.001    0.000    0.001    0.000 {method 'copy' of 'dict' objects}
        3    0.000    0.000    0.001    0.000 pyparsing.py:1836(__mul__)
        4    0.000    0.000    0.001    0.000 core.py:126(doc_note)
        1    0.000    0.000    0.001    0.001 chi2.py:1(<module>)
        9    0.000    0.000    0.001    0.000 datetime.py:356(__new__)
       85    0.000    0.000    0.001    0.000 codecs.py:318(decode)
        1    0.000    0.000    0.001    0.001 attr_value_pb2.py:4(<module>)
        1    0.000    0.000    0.001    0.001 model.py:1(<module>)
        1    0.001    0.001    0.001    0.001 {built-in method torch._C._c10d_init}
        4    0.000    0.000    0.001    0.000 re.py:204(split)
      204    0.001    0.000    0.001    0.000 {built-in method pygame.event.get}
       10    0.000    0.000    0.001    0.000 tokenize.py:355(detect_encoding)
        1    0.000    0.000    0.001    0.001 os.py:195(makedirs)
       28    0.000    0.000    0.001    0.000 ipaddress.py:1614(_ip_int_from_string)
        1    0.000    0.000    0.001    0.001 reflection.py:46(<module>)
      209    0.000    0.000    0.001    0.000 _util.py:7(isStringType)
      493    0.001    0.000    0.001    0.000 {method 'get' of 'mappingproxy' objects}
      624    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1202(<genexpr>)
      558    0.001    0.000    0.001    0.000 utils.py:47(__init__)
      654    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:424(has_location)
        1    0.000    0.000    0.001    0.001 cifar.py:1(<module>)
      186    0.000    0.000    0.001    0.000 __init__.py:422(<genexpr>)
     12/2    0.000    0.000    0.001    0.000 pyparsing.py:1885(makeOptionalList)
      242    0.000    0.000    0.001    0.000 types.py:135(__get__)
        1    0.000    0.000    0.001    0.001 tarfile.py:30(<module>)
       64    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:927(exec_module)
      506    0.001    0.000    0.001    0.000 {method '__enter__' of '_thread.lock' objects}
        1    0.000    0.000    0.001    0.001 numerictypes.py:120(<listcomp>)
      778    0.001    0.000    0.001    0.000 {built-in method builtins.globals}
       20    0.000    0.000    0.001    0.000 ipaddress.py:1099(_ip_int_from_string)
      170    0.001    0.000    0.001    0.000 {built-in method math.log}
       51    0.000    0.000    0.001    0.000 _internal.py:715(_ufunc_doc_signature_formatter)
        1    0.000    0.000    0.001    0.001 cookiejar.py:1961(MozillaCookieJar)
       17    0.000    0.000    0.001    0.000 enum.py:464(_find_new_)
  148/113    0.001    0.000    0.001    0.000 sre_compile.py:414(_get_literal_prefix)
      459    0.001    0.000    0.001    0.000 {built-in method builtins.max}
       44    0.000    0.000    0.001    0.000 _inspect.py:98(getargspec)
       69    0.000    0.000    0.001    0.000 status_codes.py:117(<genexpr>)
        2    0.000    0.000    0.001    0.000 padding.py:1(<module>)
        1    0.000    0.000    0.001    0.001 pkgdata.py:34(getResource)
        1    0.000    0.000    0.001    0.001 calendar.py:6(<module>)
        1    0.000    0.000    0.001    0.001 adaptive.py:3(<module>)
       86    0.000    0.000    0.001    0.000 sre_compile.py:441(_get_charset_prefix)
      209    0.001    0.000    0.001    0.000 {built-in method PIL._imaging.raw_encoder}
      589    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:825(get_filename)
      186    0.000    0.000    0.001    0.000 __init__.py:420(<genexpr>)
      504    0.001    0.000    0.001    0.000 writer.py:307(_check_caffe2)
      384    0.001    0.000    0.001    0.000 six.py:88(__init__)
        3    0.000    0.000    0.001    0.000 tokenize.py:137(_all_string_prefixes)
       30    0.000    0.000    0.001    0.000 getlimits.py:70(<lambda>)
      268    0.000    0.000    0.001    0.000 pyparsing.py:3229(<genexpr>)
        1    0.000    0.000    0.001    0.001 pathlib.py:382(_NormalAccessor)
       20    0.000    0.000    0.001    0.000 __init__.py:1864(find_distributions)
        1    0.000    0.000    0.001    0.001 conv.py:2(<module>)
      499    0.001    0.000    0.001    0.000 sre_parse.py:167(__setitem__)
        1    0.001    0.001    0.001    0.001 {built-in method posix.mkdir}
       16    0.000    0.000    0.001    0.000 posixpath.py:331(normpath)
        1    0.000    0.000    0.001    0.001 __init__.py:44(is_available)
       24    0.000    0.000    0.001    0.000 pyparsing.py:2772(parseImpl)
       82    0.000    0.000    0.001    0.000 __init__.py:58(flap)
        1    0.001    0.001    0.001    0.001 {built-in method torch._C._cuda_isDriverSufficient}
      418    0.001    0.000    0.001    0.000 {method 'pixel_access' of 'ImagingCore' objects}
       27    0.000    0.000    0.001    0.000 core.py:920(__init__)
        1    0.000    0.000    0.001    0.001 traceback.py:27(format_list)
       95    0.000    0.000    0.001    0.000 _weakrefset.py:26(__exit__)
      583    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:669(create_module)
        1    0.000    0.000    0.001    0.001 _encoded_words.py:6(<module>)
      514    0.001    0.000    0.001    0.000 version.py:54(<lambda>)
       74    0.001    0.000    0.001    0.000 sre_compile.py:378(<listcomp>)
      506    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.lock' objects}
        1    0.000    0.000    0.001    0.001 pooling.py:1(<module>)
      524    0.001    0.000    0.001    0.000 version.py:332(_parse_local_version)
      502    0.001    0.000    0.001    0.000 version.py:48(<lambda>)
        4    0.000    0.000    0.001    0.000 textwrap.py:414(dedent)
        2    0.000    0.000    0.001    0.000 profiler.py:1(<module>)
       68    0.000    0.000    0.001    0.000 status_codes.py:111(doc)
       16    0.000    0.000    0.001    0.000 utils.py:148(__init__)
      267    0.000    0.000    0.001    0.000 enum.py:28(_is_dunder)
      196    0.000    0.000    0.001    0.000 pkgutil.py:402(get_importer)
      191    0.001    0.000    0.001    0.000 _weakrefset.py:36(__init__)
      140    0.001    0.000    0.001    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.001    0.001 frontend.py:1(<module>)
      267    0.000    0.000    0.000    0.000 enum.py:36(_is_sunder)
        1    0.000    0.000    0.000    0.000 containers.py:40(<module>)
      418    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 __init__.py:98(__init__)
        1    0.000    0.000    0.000    0.000 function.py:1(<module>)
    82/80    0.000    0.000    0.000    0.000 pyparsing.py:349(__init__)
        8    0.000    0.000    0.000    0.000 __init__.py:1838(getLogger)
       28    0.000    0.000    0.000    0.000 pyparsing.py:3956(__init__)
        1    0.000    0.000    0.000    0.000 exceptions.py:8(<module>)
        1    0.000    0.000    0.000    0.000 _collections.py:1(<module>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:27(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:828(start)
        1    0.000    0.000    0.000    0.000 __init__.py:951(Environment)
        3    0.000    0.000    0.000    0.000 sparse.py:1(<module>)
        1    0.000    0.000    0.000    0.000 errors.py:5(<module>)
       10    0.000    0.000    0.000    0.000 pathlib.py:384(_wrap_strfunc)
        2    0.000    0.000    0.000    0.000 module.py:303(to)
        1    0.000    0.000    0.000    0.000 traceback.py:386(format)
       18    0.000    0.000    0.000    0.000 core.py:996(__init__)
        1    0.000    0.000    0.000    0.000 zipfile.py:5(<module>)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
        8    0.000    0.000    0.000    0.000 __init__.py:1161(getLogger)
       13    0.000    0.000    0.000    0.000 tokenize.py:379(read_or_stop)
        1    0.000    0.000    0.000    0.000 categorical.py:1(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:341(get_provider)
        2    0.000    0.000    0.000    0.000 pyparsing.py:4409(delimitedList)
       24    0.000    0.000    0.000    0.000 {method 'random_integers' of 'mtrand.RandomState' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:204(_sanity_check)
      123    0.000    0.000    0.000    0.000 enum.py:874(_power_of_two)
       11    0.000    0.000    0.000    0.000 {method 'convert_alpha' of 'pygame.Surface' objects}
       85    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
       95    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
      105    0.000    0.000    0.000    0.000 linecache.py:147(lazycache)
       49    0.000    0.000    0.000    0.000 pyparsing.py:2785(__str__)
      408    0.000    0.000    0.000    0.000 __init__.py:348(getScore)
        1    0.000    0.000    0.000    0.000 dirichlet.py:1(<module>)
       80    0.000    0.000    0.000    0.000 ipaddress.py:1125(_parse_octet)
      130    0.000    0.000    0.000    0.000 six.py:105(__init__)
      222    0.000    0.000    0.000    0.000 __init__.py:1831(__init__)
        2    0.000    0.000    0.000    0.000 dropout.py:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pyparsing.py:2724(Regex)
        1    0.000    0.000    0.000    0.000 os.py:994(close)
       82    0.000    0.000    0.000    0.000 pyparsing.py:340(__new__)
        1    0.000    0.000    0.000    0.000 rnnFusedPointwise.py:1(<module>)
     14/2    0.000    0.000    0.000    0.000 module.py:183(_apply)
       13    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
       10    0.000    0.000    0.000    0.000 extras.py:238(__init__)
        2    0.000    0.000    0.000    0.000 response.py:1(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:1481(__init__)
       73    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
      418    0.000    0.000    0.000    0.000 {built-in method _CheckCalledFromGeneratedFile}
        8    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.000    0.000 process.py:10(<module>)
       26    0.000    0.000    0.000    0.000 numerictypes.py:229(bitname)
       14    0.000    0.000    0.000    0.000 __init__.py:139(_check_size)
      101    0.000    0.000    0.000    0.000 ssl.py:149(<lambda>)
       10    0.000    0.000    0.000    0.000 extras.py:242(getdoc)
      113    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
        1    0.000    0.000    0.000    0.000 text_encoding.py:37(<listcomp>)
      101    0.000    0.000    0.000    0.000 ssl.py:134(<lambda>)
        1    0.000    0.000    0.000    0.000 token.py:74(<dictcomp>)
      277    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.add_docstring}
       15    0.000    0.000    0.000    0.000 pyparsing.py:3535(__str__)
        1    0.000    0.000    0.000    0.000 __init__.py:167(get_supported_platform)
        1    0.000    0.000    0.000    0.000 {built-in method torch._C._autograd_init}
        1    0.000    0.000    0.000    0.000 auto.py:271(<dictcomp>)
        1    0.000    0.000    0.000    0.000 event_file_writer.py:65(write_event)
      204    0.000    0.000    0.000    0.000 ple.py:150(_tick)
       26    0.000    0.000    0.000    0.000 __init__.py:3000(_find_adapter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:18(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:285(_add_types)
       65    0.000    0.000    0.000    0.000 __init__.py:656(<lambda>)
       96    0.000    0.000    0.000    0.000 auto.py:95(_find_buffers)
      168    0.000    0.000    0.000    0.000 {built-in method math.ceil}
       15    0.000    0.000    0.000    0.000 pyparsing.py:4524(_escapeRegexRangeChars)
        2    0.000    0.000    0.000    0.000 __init__.py:1485(_setup_prefix)
        1    0.000    0.000    0.000    0.000 types_pb2.py:4(<module>)
      261    0.000    0.000    0.000    0.000 {method 'FindFieldByName' of 'google.protobuf.pyext._message.DescriptorPool' objects}
    13/12    0.000    0.000    0.000    0.000 pyparsing.py:3393(__str__)
      123    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      164    0.000    0.000    0.000    0.000 {built-in method pygame.event.post}
      168    0.000    0.000    0.000    0.000 {method 'numel' of 'torch._C._TensorBase' objects}
      118    0.000    0.000    0.000    0.000 backend.py:13(register_function)
        1    0.000    0.000    0.000    0.000 lr_scheduler.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:374(get_build_platform)
        1    0.000    0.000    0.000    0.000 __init__.py:1140(resource_stream)
        1    0.000    0.000    0.000    0.000 numeric.py:2923(<listcomp>)
       61    0.000    0.000    0.000    0.000 symbol_database.py:68(RegisterMessage)
        7    0.000    0.000    0.000    0.000 function.py:183(once_differentiable)
        1    0.000    0.000    0.000    0.000 resource_handle_pb2.py:4(<module>)
        1    0.000    0.000    0.000    0.000 cookies.py:10(<module>)
        1    0.000    0.000    0.000    0.000 _functions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
       61    0.000    0.000    0.000    0.000 descriptor.py:281(__new__)
        1    0.000    0.000    0.000    0.000 adam.py:29(__init__)
       11    0.000    0.000    0.000    0.000 pyparsing.py:3810(__init__)
      164    0.000    0.000    0.000    0.000 {built-in method pygame.event.Event}
       16    0.000    0.000    0.000    0.000 os.py:664(__getitem__)
      147    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 ast.py:26(<module>)
      101    0.000    0.000    0.000    0.000 ssl.py:124(<lambda>)
        1    0.000    0.000    0.000    0.000 optimizer.py:25(__init__)
        1    0.000    0.000    0.000    0.000 pathlib.py:107(_WindowsFlavour)
      101    0.000    0.000    0.000    0.000 ssl.py:129(<lambda>)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1596(_make_netmask)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3143(__init__)
        1    0.000    0.000    0.000    0.000 multivariate_normal.py:1(<module>)
      168    0.000    0.000    0.000    0.000 {method 'detach' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.000    0.000 subprocess.py:1414(wait)
       29    0.000    0.000    0.000    0.000 posixpath.py:64(isabs)
      209    0.000    0.000    0.000    0.000 {method 'setimage' of 'ImagingEncoder' objects}
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
       21    0.000    0.000    0.000    0.000 posixpath.py:104(split)
       47    0.000    0.000    0.000    0.000 ipaddress.py:158(_split_optional_netmask)
       24    0.000    0.000    0.000    0.000 {method 'fill' of 'pygame.Surface' objects}
       68    0.000    0.000    0.000    0.000 kl.py:35(register_kl)
        2    0.000    0.000    0.000    0.000 queue.py:1(<module>)
      209    0.000    0.000    0.000    0.000 {built-in method pygame.display.get_surface}
      209    0.000    0.000    0.000    0.000 {method 'get_size' of 'pygame.Surface' objects}
        1    0.000    0.000    0.000    0.000 threading.py:533(wait)
       30    0.000    0.000    0.000    0.000 pyparsing.py:2701(__str__)
       57    0.000    0.000    0.000    0.000 __init__.py:19(__new__)
       14    0.000    0.000    0.000    0.000 __init__.py:1787(has_metadata)
        5    0.000    0.000    0.000    0.000 fromnumeric.py:1821(sum)
        1    0.000    0.000    0.000    0.000 __init__.py:1124(resource_exists)
      140    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      155    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
      101    0.000    0.000    0.000    0.000 ssl.py:144(<lambda>)
       12    0.000    0.000    0.000    0.000 pyparsing.py:1046(wrapper)
       64    0.000    0.000    0.000    0.000 pyparsing.py:1328(preParse)
      101    0.000    0.000    0.000    0.000 ssl.py:139(<lambda>)
        2    0.000    0.000    0.000    0.000 normalization.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:6266(__new__)
        1    0.000    0.000    0.000    0.000 relaxed_bernoulli.py:1(<module>)
       20    0.000    0.000    0.000    0.000 module.py:120(register_parameter)
       36    0.000    0.000    0.000    0.000 getlimits.py:69(<lambda>)
      250    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      288    0.000    0.000    0.000    0.000 {method 'items' of 'collections.OrderedDict' objects}
      121    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        1    0.000    0.000    0.000    0.000 DQNAgent.py:111(__init__)
        1    0.000    0.000    0.000    0.000 binomial.py:1(<module>)
      206    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        6    0.000    0.000    0.000    0.000 functools.py:479(decorating_function)
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 sysconfig.py:612(get_platform)
       84    0.000    0.000    0.000    0.000 descriptor.py:690(__new__)
       12    0.000    0.000    0.000    0.000 pyparsing.py:2004(suppress)
        1    0.000    0.000    0.000    0.000 threading.py:263(wait)
       62    0.000    0.000    0.000    0.000 numerictypes.py:127(english_lower)
       39    0.000    0.000    0.000    0.000 sre_parse.py:257(getwhile)
        1    0.000    0.000    0.000    0.000 fold.py:1(<module>)
      168    0.000    0.000    0.000    0.000 functional.py:22(get_enum)
        1    0.000    0.000    0.000    0.000 structures.py:8(<module>)
      232    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISDIR}
        4    0.000    0.000    0.000    0.000 pyparsing.py:1800(__radd__)
        2    0.000    0.000    0.000    0.000 activation.py:76(__init__)
      238    0.000    0.000    0.000    0.000 __init__.py:124(is_storage)
        8    0.000    0.000    0.000    0.000 core.py:8061(__init__)
       30    0.000    0.000    0.000    0.000 getlimits.py:26(_fr1)
        9    0.000    0.000    0.000    0.000 _collections_abc.py:664(__contains__)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
       10    0.000    0.000    0.000    0.000 genericpath.py:27(isfile)
      281    0.000    0.000    0.000    0.000 pyparsing.py:2615(<genexpr>)
        8    0.000    0.000    0.000    0.000 pyparsing.py:3894(__init__)
      204    0.000    0.000    0.000    0.000 pygamewrapper.py:81(_draw_frame)
        2    0.000    0.000    0.000    0.000 activation.py:38(__init__)
       96    0.000    0.000    0.000    0.000 enum.py:822(_high_bit)
       43    0.000    0.000    0.000    0.000 ipaddress.py:1866(__init__)
       39    0.000    0.000    0.000    0.000 _inspect.py:67(getargs)
      209    0.000    0.000    0.000    0.000 {method 'join' of 'bytes' objects}
       20    0.000    0.000    0.000    0.000 pyparsing.py:2666(parseImpl)
        5    0.000    0.000    0.000    0.000 __init__.py:570(__init__)
        1    0.000    0.000    0.000    0.000 _polybase.py:8(<module>)
      153    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
      168    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       45    0.000    0.000    0.000    0.000 pyparsing.py:1167(setName)
       12    0.000    0.000    0.000    0.000 pyparsing.py:4716(<lambda>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:51(<module>)
        1    0.000    0.000    0.000    0.000 mixins.py:63(NDArrayOperatorsMixin)
        2    0.000    0.000    0.000    0.000 {method 'flush' of '_io.BufferedWriter' objects}
       50    0.000    0.000    0.000    0.000 pyparsing.py:3540(<genexpr>)
      160    0.000    0.000    0.000    0.000 __init__.py:2474(_reload_version)
        1    0.000    0.000    0.000    0.000 tensor_shape_pb2.py:4(<module>)
      132    0.000    0.000    0.000    0.000 traceback.py:290(walk_stack)
      231    0.000    0.000    0.000    0.000 enum.py:594(name)
        1    0.000    0.000    0.000    0.000 streams.py:1(<module>)
        2    0.000    0.000    0.000    0.000 random.py:1(<module>)
        9    0.000    0.000    0.000    0.000 six.py:91(__get__)
      169    0.000    0.000    0.000    0.000 {method 'remove' of 'collections.deque' objects}
       41    0.000    0.000    0.000    0.000 pyparsing.py:3398(<genexpr>)
        1    0.000    0.000    0.000    0.000 adagrad.py:1(<module>)
